district,year,total_exp_lakh,total_wages_lakh,person_days,avg_wage_daily,avg_days_per_hh,total_hh_worked,total_individuals,hh_100days,active_jobcards,total_jobcards,sc_persondays,st_persondays,women_persondays,works_completed,works_ongoing,pct_agri_works,pct_nrm_works,pct_timely_payment,labour_budget,log_wage,log_exp_lakh,log_person_days,exp_per_hh,log_exp_per_hh,sc_share,st_share,women_share,budget_utilisation,high_spend,time,district_id
nadia,2018,159655.85392798984,100843.1890675,12824504,119.33943955992682,46.833333333333336,158138,275275,51261,485703,718091,19819787,2107935,38136886,383924,53429,55.595,49.83416666666667,119.08999999999999,12000000,4.78197186592007,11.980782128182835,16.366868351785016,100959.82871162519,11.522487886057766,1.5454622650513423,0.16436776034379186,2.9737513435217457,1.0687086666666668,0,0,16
nadia,2019,74570.351581121,42932.5199444,7357296,218.13083879872792,23.083333333333332,165571,228714,7029,457592,732724,6269587,815568,12117984,206674,47612,40.305,30.897499999999997,107.815,11723000,5.385095060730135,11.219511685371854,15.811203167815483,45038.292684782355,10.715290558533564,0.8521591356389631,0.1108515954774689,1.6470703367106612,0.6275949842190566,0,1,16
nadia,2020,166492.124962767,137655.3102601,12712533,155.00777256724174,30.333333333333332,287568,400382,15809,458015,787566,18500247,2063650,36035246,293268,65326,61.31916666666667,54.115833333333335,101.10083333333334,12719435,5.0434752612571065,12.022709296035204,16.358098993868317,57896.610527863675,10.966431393760686,1.4552762222918123,0.16233192865654705,2.8346235954707057,0.9994573658342528,0,2,16
nadia,2021,199178.871333908,136547.4943174,10434352,158.17101615161434,30.083333333333332,263948,351531,5913,420546,875449,14603294,1687813,33883821,237863,61746,49.7275,50.67666666666667,100.42,9728706,5.063676828381734,12.201963571506449,16.16061409369624,75461.40578216467,11.23138987456542,1.3995400960212958,0.1617554209403708,3.2473335191298895,1.0725323593908584,0,3,16
nadia,2022,40875.7668207,33140.5373407,1622374,180.40126983460368,17.083333333333332,85791,99394,15,384994,765300,3196123,401637,8055174,241561,45280,56.251666666666665,47.4675,100.08416666666666,0,5.195183646598227,10.618317132236637,14.29940168299006,47645.751676399625,10.771569736273843,1.9700284891153335,0.2475612898135695,4.965053680593994,,1,4,16
nadia,2023,6914.97547,28.9062,1263,191.0221869639089,16.75,73,75,0,359615,764452,345,0,7305,2103,24043,78.895,0.0,100.0,0,5.25238958341504,8.841589299949002,7.142036574706803,9472569.136986302,16.06391082612157,0.27315914489311166,0.0,5.783847980997625,,1,5,16
nadia,2024,59543.76939,0.0,0,,0.0,0,0,0,260685,764488,0,0,0,0,23808,0.9166956521739129,0.0,0.0,0,,10.994483735325337,0.0,,,0.0,0.0,0.0,,1,6,16
paschim bardhaman,2018,45106.084756745,34615.84051576,3447786,133.04504221055547,39.583333333333336,53070,87057,9091,91617,134208,12860467,3279491,11647794,51501,7785,49.23,61.028333333333336,113.64666666666666,3158126,4.890687734125563,10.716794603103436,15.053243133915576,84993.56464432823,11.350342588067017,3.730065323079797,0.9511875156984801,3.378340187006966,1.0917189497822444,0,0,17
paschim bardhaman,2019,29551.53689772001,20893.36554110001,3011010,150.03390950444958,38.166666666666664,59467,86610,4619,91551,137180,7811064,2245002,6968917,64919,10425,65.535,28.165833333333335,100.14666666666666,3572000,5.010861331910781,10.29392487017193,14.917786460728536,49694.0099512671,10.813659803648934,2.5941674056213695,0.745597656600277,2.3144781983454057,0.8429479283314669,0,1,17
paschim bardhaman,2020,54452.36120773,47886.850845299996,4011695,152.08560967755983,37.083333333333336,72433,109150,11177,95359,150204,16444404,4943960,14798940,78143,9393,68.11749999999999,69.235,100.00166666666667,4015732,5.024443583859435,10.905099856625391,15.204724652511114,75176.17827196167,11.227602983452385,4.099116208983983,1.2323868090669905,3.6889494340920734,0.9989947038298372,0,2,17
